epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.994,1.31704,2.33179,1.45987,0.41725,0.52604,0.44791,0.25855,1.41615,2.25253,1.69003,0.000552562,0.000552562,0.000552562
2,1551.88,1.41679,1.92329,1.49969,0.46582,0.52636,0.42692,0.22065,1.57722,2.20449,1.83436,0.00108629,0.00108629,0.00108629
3,2847.09,1.46234,1.8185,1.54206,0.44054,0.42437,0.39093,0.20282,1.65858,2.00145,1.8774,0.00159801,0.00159801,0.00159801
4,4839.13,1.46835,1.75018,1.54731,0.49277,0.48786,0.51553,0.28695,1.48068,1.82755,1.66875,0.00156798,0.00156798,0.00156798
5,5508.13,1.42047,1.63502,1.5122,0.52629,0.53828,0.52745,0.28866,1.45726,1.61508,1.64706,0.00153497,0.00153497,0.00153497
6,6174.92,1.41857,1.54364,1.49986,0.55433,0.60804,0.61974,0.35343,1.44959,1.40805,1.64695,0.00150197,0.00150197,0.00150197
7,6923.99,1.38701,1.5101,1.47904,0.64427,0.58613,0.64301,0.34076,1.5305,1.40985,1.73015,0.00146896,0.00146896,0.00146896
8,13371.3,1.39475,1.47466,1.47343,0.70256,0.53653,0.63529,0.35894,1.45011,1.35923,1.62221,0.00143595,0.00143595,0.00143595
9,14196.3,1.37539,1.46796,1.47337,0.69276,0.56086,0.65785,0.38162,1.39324,1.24147,1.59651,0.00140295,0.00140295,0.00140295
10,14850.9,1.33235,1.3998,1.44282,0.52459,0.63603,0.61551,0.35014,1.38849,1.34062,1.57935,0.00136994,0.00136994,0.00136994
11,15508.2,1.34118,1.39953,1.44156,0.67858,0.6053,0.67468,0.40106,1.36622,1.21075,1.54314,0.00133693,0.00133693,0.00133693
12,16169.1,1.29499,1.33522,1.40867,0.68449,0.61954,0.68622,0.39984,1.39741,1.18864,1.58451,0.00130393,0.00130393,0.00130393
13,16826.3,1.32603,1.32661,1.43096,0.7004,0.58095,0.68825,0.40829,1.32684,1.16937,1.53242,0.00127092,0.00127092,0.00127092
14,17486.5,1.30694,1.30088,1.41304,0.70946,0.57352,0.68003,0.40453,1.36478,1.16292,1.55049,0.00123791,0.00123791,0.00123791
15,18144.5,1.30629,1.29379,1.4179,0.69799,0.62616,0.6993,0.42712,1.30201,1.11109,1.50986,0.00120491,0.00120491,0.00120491
16,18808,1.27378,1.28495,1.41184,0.69817,0.60411,0.68653,0.41277,1.3027,1.12954,1.50373,0.0011719,0.0011719,0.0011719
17,19481.7,1.25852,1.24588,1.38307,0.67207,0.65211,0.69832,0.42756,1.32382,1.09869,1.51161,0.00113889,0.00113889,0.00113889
18,20142.4,1.24268,1.19755,1.3761,0.72393,0.59085,0.7002,0.43362,1.31186,1.0666,1.50739,0.00110589,0.00110589,0.00110589
19,20824.4,1.23403,1.19307,1.37195,0.6715,0.61205,0.67474,0.40877,1.32923,1.17012,1.52478,0.00107288,0.00107288,0.00107288
20,22124.1,1.2253,1.17595,1.36641,0.71861,0.63201,0.72168,0.45108,1.27784,1.05503,1.49371,0.00103987,0.00103987,0.00103987
21,23456.2,1.23659,1.17818,1.37192,0.67369,0.66783,0.71115,0.41466,1.41858,1.09502,1.5442,0.00100687,0.00100687,0.00100687
22,24191.3,1.22413,1.17133,1.36717,0.72605,0.66617,0.73254,0.45305,1.28378,1.02169,1.47746,0.000973861,0.000973861,0.000973861
23,24993.9,1.22803,1.1723,1.37542,0.66253,0.67882,0.72677,0.44515,1.28913,1.02101,1.48911,0.000940855,0.000940855,0.000940855
24,27581.3,1.2065,1.15458,1.36527,0.77405,0.63561,0.75512,0.46951,1.2657,0.98867,1.49169,0.000907848,0.000907848,0.000907848
25,28291.4,1.19784,1.13557,1.36526,0.77814,0.64147,0.7507,0.46679,1.28667,0.97342,1.48483,0.000874842,0.000874842,0.000874842
26,29015.5,1.17463,1.08998,1.33523,0.7385,0.68692,0.74582,0.46445,1.26074,0.95988,1.47385,0.000841835,0.000841835,0.000841835
27,29712.7,1.1794,1.07904,1.34363,0.73652,0.66457,0.75498,0.47277,1.25103,0.9988,1.47542,0.000808828,0.000808828,0.000808828
28,30958.3,1.15087,1.09693,1.32164,0.76344,0.65604,0.739,0.45497,1.27312,0.9565,1.47984,0.000775822,0.000775822,0.000775822
29,31806.1,1.15762,1.05666,1.34203,0.73201,0.66765,0.73604,0.44972,1.25608,0.9617,1.45551,0.000742815,0.000742815,0.000742815
30,32526.7,1.1398,1.04759,1.31892,0.7255,0.69938,0.76474,0.476,1.25923,0.94625,1.46961,0.000709809,0.000709809,0.000709809
31,33297.4,1.14615,1.04538,1.31769,0.76791,0.68698,0.78384,0.4884,1.25603,0.91434,1.44761,0.000676802,0.000676802,0.000676802
32,34084.9,1.1288,1.04258,1.31068,0.78538,0.64982,0.7554,0.46804,1.27634,0.9623,1.46415,0.000643795,0.000643795,0.000643795
33,34840.7,1.12161,1.01612,1.30223,0.74249,0.71809,0.77086,0.49518,1.21062,0.89754,1.4378,0.000610789,0.000610789,0.000610789
34,35559.8,1.13864,1.02442,1.31641,0.7597,0.71033,0.76325,0.48016,1.22398,0.90022,1.4498,0.000577782,0.000577782,0.000577782
